name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
log4j-1.2.14.jar,"Apache-2.0",apache,,,Java,,,
util-perf-1.0.1.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
commons-logging-1.1.1.jar,"Apache-2.0",apache,,,Java,,,
aopalliance-1.0.0.jar,"Public Domain",others,,,Java,,,
cglib-2.2.2.jar,"Apache-2.0",others,,,Java,,,
asm-3.3.1.jar,"BSD-3-Clause",others,,,Java,,,
spring-aop-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-asm-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-beans-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-context-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-core-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-expression-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-jdbc-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-tx-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-web-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
spring-test-3.1.1.RELEASE.jar,"Apache-2.0",,,,Java,,,
jettison-1.3.1.jar,"Apache-2.0",others,,,Java,,,
jsr311-api-1.1.1.jar,"CDDL-1.0",others,,,Java,,,
servlet-api-2.5.jar,"CDDL-1.0; GPL-2.0",sun,,,Java,,,
resteasy-jaxrs-2.3.10.Final-redhat-1.jar,"Apache-2.0",redhat,,,Java,,,
jackson-mapper-asl-1.9.9.redhat-4.jar,"Apache-2.0",redhat,,,Java,,,
jackson-core-asl-1.9.9.redhat-4.jar,"Apache-2.0",redhat,,,Java,,,
validation-api-1.0.0.GA-redhat-3.jar,"Apache-2.0",redhat,,,Java,,,
swagger-annotations-1.5.18.jar,"Apache-2.0",others,,,Java,,,
swagger-jaxrs-1.5.18.jar,"Apache-2.0",others,,,Java,,,
commons-io-2.1.jar,"Apache-2.0",apache,,,Java,,,
csi-apachesoap-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
csi-core-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
csi-ejb-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
csi-ejb-weblogic-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
csi-rmi-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
csi-stadapter-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
csi-tools-1.4.5.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
coop-diag-1.2.1.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
coop-trace-1.2.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
httpclient-4.4.1.jar,"Apache-2.0",apache,,,Java,,,
httpcore-4.4.1.jar,"Apache-2.0",apache,,,Java,,,
silos-jeff-1.1.0.jar,"Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta)",csipiemonte,,,Java,,,
gson-2.2.2.jar,"Apache-2.0",google,,,Java,,,
commons-lang-2.5.jar,"Apache-2.0",apache,,,Java,,,
cxf-2.7.7.jar,"Apache-2.0",apache,,,Java,,,
neethi-3.0.2.jar,"Apache-2.0",apache,,,Java,,,
xmlschema-core-2.0.3.jar,"Apache-2.0",apache,,,Java,,,
xerces-2.9.0.jar,"Apache-2.0",apache,,,Java,,,
stax2-api-3.1.1.jar,"BSD-2-Clause",others,,,Java,,,
woodstox-4.2.0.jar,"Apache-2.0",codehaus,,,Java,,,
wsdl4j-1.6.3.jar,"CPL-1.0",others,,,Java,,,
